"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"D64ads v5","D64ads v5","256 GiB","64","4 GiB/vCPU","0","2400 GiB","$3.296 hourly","","","$0.7528 hourly","$6.24 hourly","","","$1.4252 hourly"
"D64ads v6","D64ads v6","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$3.648 hourly","","","$0.7887 hourly","$6.592 hourly","","","$1.4232 hourly"
"D64ads v7","D64ads v7","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$3.648 hourly","","","$0.684 hourly","$6.592 hourly","","","$1.2393 hourly"
"D64alds v6","D64alds v6","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$3.046 hourly","","","$0.6585 hourly","$5.99 hourly","","","$1.2932 hourly"
"D64alds v7","D64alds v7","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$3.046 hourly","","","$0.5711 hourly","$5.99 hourly","","","$1.1261 hourly"
"D64als v6","D64als v6","128 GiB","64","2 GiB/vCPU","0","0 GiB","$2.573 hourly","","","$0.5393 hourly","$5.517 hourly","","","$1.1564 hourly"
"D64als v7","D64als v7","128 GiB","64","2 GiB/vCPU","0","0 GiB","$2.573 hourly","","","$0.4824 hourly","$5.517 hourly","","","$1.0372 hourly"
"D64as v4","D64as v4","256 GiB","64","4 GiB/vCPU","0","512 GiB","$3.072 hourly","","","$0.6706 hourly","$6.016 hourly","","","$1.3133 hourly"
"D64as v5","D64as v5","256 GiB","64","4 GiB/vCPU","0","0 GiB","$2.752 hourly","","","$0.6286 hourly","$5.696 hourly","","","$1.301 hourly"
"D64as v6","D64as v6","256 GiB","64","4 GiB/vCPU","0","0 GiB","$2.906 hourly","","","$0.6091 hourly","$5.85 hourly","","","$1.2262 hourly"
"D64as v7","D64as v7","256 GiB","64","4 GiB/vCPU","0","0 GiB","$2.906 hourly","","","$0.5449 hourly","$5.85 hourly","","","$1.0998 hourly"
"D64a v4","D64a v4","256 GiB","64","4 GiB/vCPU","0","1600 GiB","$3.072 hourly","","","$0.6706 hourly","$6.016 hourly","","","$1.3133 hourly"
"D64ds v4","D64ds v4","256 GiB","64","4 GiB/vCPU","0","2400 GiB","$3.616 hourly","","","$0.7807 hourly","$6.56 hourly","","","$1.4163 hourly"
"D64ds v5","D64ds v5","256 GiB","64","4 GiB/vCPU","0","2400 GiB","$3.616 hourly","","","$0.8006 hourly","$6.56 hourly","","","$1.4524 hourly"
"D64ds v6","D64ds v6","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$3.987 hourly","","","$0.8775 hourly","$6.931 hourly","","","$1.5255 hourly"
"D64ds v7","D64ds v7","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$5.221 hourly","","","$0.9648 hourly","$8.165 hourly","","","$1.5089 hourly"
"D64d v4","D64d v4","256 GiB","64","4 GiB/vCPU","0","2400 GiB","$3.616 hourly","","","$0.7807 hourly","$6.56 hourly","","","$1.4163 hourly"
"D64d v5","D64d v5","256 GiB","64","4 GiB/vCPU","0","2400 GiB","$3.616 hourly","","","$0.8006 hourly","$6.56 hourly","","","$1.4524 hourly"
"D64lds v5","D64lds v5","128 GiB","64","2 GiB/vCPU","0","2400 GiB","$3.072 hourly","","","$0.6801 hourly","$6.016 hourly","","","$1.3319 hourly"
"D64lds v6","D64lds v6","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$3.53 hourly","","","$0.777 hourly","$6.474 hourly","","","$1.4249 hourly"
"D64lds v7","D64lds v7","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$4.435 hourly","","","$0.8196 hourly","$7.379 hourly","","","$1.3636 hourly"
"D64ls v5","D64ls v5","128 GiB","64","2 GiB/vCPU","0","0 GiB","$2.72 hourly","","","$0.5742 hourly","$5.664 hourly","","","$1.1957 hourly"
"D64ls v6","D64ls v6","128 GiB","64","2 GiB/vCPU","0","0 GiB","$2.856 hourly","","","$0.6212 hourly","$5.80 hourly","","","$1.2615 hourly"
"D64ls v7","D64ls v7","128 GiB","64","2 GiB/vCPU","0","0 GiB","$3.748 hourly","","","$0.6926 hourly","$6.692 hourly","","","$1.2367 hourly"
"D64nds v6","D64nds v6","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$5.092 hourly","","","$1.1207 hourly","$8.036 hourly","","","$1.7687 hourly"
"D64nlds v6","D64nlds v6","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$4.482 hourly","","","$0.9865 hourly","$7.426 hourly","","","$1.6345 hourly"
"D64nls v6","D64nls v6","128 GiB","64","2 GiB/vCPU","0","0 GiB","$3.629 hourly","","","$0.7893 hourly","$6.573 hourly","","","$1.4296 hourly"
"D64ns v6","D64ns v6","256 GiB","64","4 GiB/vCPU","0","0 GiB","$4.455 hourly","","","$0.969 hourly","$7.399 hourly","","","$1.6093 hourly"
"Standard D64pds v5","D64pds v5","208 GiB","64","3.25 GiB/vCPU","0","2400 GiB","$2.893 hourly","","","$0.6116 hourly","","","",""
"Standard D64pds v6","D64pds v6","256 GiB","64","4 GiB/vCPU","0","3520 GiB","$2.938 hourly","","","$0.8344 hourly","","","",""
"Standard D64plds v5","D64plds v5","128 GiB","64","2 GiB/vCPU","0","2400 GiB","$2.458 hourly","","","$0.5196 hourly","","","",""
"Standard D64plds v6","D64plds v6","128 GiB","64","2 GiB/vCPU","0","3520 GiB","$2.496 hourly","","","$0.7089 hourly","","","",""
"Standard D64pls v5","D64pls v5","128 GiB","64","2 GiB/vCPU","0","0 GiB","$2.176 hourly","","","$0.46 hourly","","","",""
"Standard D64pls v6","D64pls v6","128 GiB","64","2 GiB/vCPU","0","0 GiB","$1.984 hourly","","","$0.5635 hourly","","","",""
"Standard D64ps v5","D64ps v5","208 GiB","64","3.25 GiB/vCPU","0","0 GiB","$2.464 hourly","","","$0.5209 hourly","","","",""
"Standard D64ps v6","D64ps v6","256 GiB","64","4 GiB/vCPU","0","0 GiB","$2.246 hourly","","","$0.6379 hourly","","","",""
"D64s v3","D64s v3","256 GiB","64","4 GiB/vCPU","0","512 GiB","$3.072 hourly","","","$0.6021 hourly","$6.016 hourly","","","$1.1791 hourly"
"D64s v4","D64s v4","256 GiB","64","4 GiB/vCPU","0","0 GiB","$3.072 hourly","","","$0.6479 hourly","$6.016 hourly","","","$1.2688 hourly"
"D64s v5","D64s v5","256 GiB","64","4 GiB/vCPU","0","0 GiB","$3.072 hourly","","","$0.6485 hourly","$6.016 hourly","","","$1.27 hourly"
"D64s v6","D64s v6","256 GiB","64","4 GiB/vCPU","0","0 GiB","$3.226 hourly","","","$0.7017 hourly","$6.17 hourly","","","$1.342 hourly"
"D64s v7","D64s v7","256 GiB","64","4 GiB/vCPU","0","0 GiB","$4.234 hourly","","","$0.7824 hourly","$7.178 hourly","","","$1.3265 hourly"
"D64 v3","D64 v3","256 GiB","64","4 GiB/vCPU","0","1600 GiB","$3.072 hourly","","","$0.6021 hourly","$6.016 hourly","","","$1.1791 hourly"
"D64 v4","D64 v4","256 GiB","64","4 GiB/vCPU","0","0 GiB","$3.072 hourly","","","$0.6479 hourly","$6.016 hourly","","","$1.2688 hourly"
"D64 v5","D64 v5","256 GiB","64","4 GiB/vCPU","0","0 GiB","$3.072 hourly","","","$0.6485 hourly","$6.016 hourly","","","$1.27 hourly"
"D8ads v5","D8ads v5","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.412 hourly","","","$0.0941 hourly","$0.78 hourly","","","$0.1782 hourly"
"D8ads v6","D8ads v6","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.456 hourly","","","$0.0986 hourly","$0.824 hourly","","","$0.1779 hourly"
"D8ads v7","D8ads v7","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.456 hourly","","","$0.0855 hourly","$0.824 hourly","","","$0.1549 hourly"
"D8alds v6","D8alds v6","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.381 hourly","","","$0.0824 hourly","$0.749 hourly","","","$0.1617 hourly"
"D8alds v7","D8alds v7","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.381 hourly","","","$0.0714 hourly","$0.749 hourly","","","$0.1408 hourly"
"D8als v6","D8als v6","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.322 hourly","","","$0.0675 hourly","$0.69 hourly","","","$0.1446 hourly"
"D8als v7","D8als v7","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.322 hourly","","","$0.0604 hourly","$0.69 hourly","","","$0.1297 hourly"
"D8as v4","D8as v4","32 GiB","8","4 GiB/vCPU","0","64 GiB","$0.384 hourly","","","$0.0838 hourly","$0.752 hourly","","","$0.1642 hourly"
"D8as v5","D8as v5","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.344 hourly","","","$0.0786 hourly","$0.712 hourly","","","$0.1626 hourly"
"D8as v6","D8as v6","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.363 hourly","","","$0.0761 hourly","$0.731 hourly","","","$0.1532 hourly"
"D8as v7","D8as v7","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.363 hourly","","","$0.0681 hourly","$0.731 hourly","","","$0.1374 hourly"
"D8a v4","D8a v4","32 GiB","8","4 GiB/vCPU","0","200 GiB","$0.384 hourly","","","$0.0838 hourly","$0.752 hourly","","","$0.1642 hourly"
"D8ds v4","D8ds v4","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.452 hourly","","","$0.0976 hourly","$0.82 hourly","","","$0.177 hourly"
"D8ds v5","D8ds v5","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.452 hourly","","","$0.1001 hourly","$0.82 hourly","","","$0.1815 hourly"
"D8ds v6","D8ds v6","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.498 hourly","","","$0.1096 hourly","$0.866 hourly","","","$0.1906 hourly"
"D8ds v7","D8ds v7","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.653 hourly","","","$0.1207 hourly","$1.021 hourly","","","$0.1887 hourly"
"D8d v4","D8d v4","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.452 hourly","","","$0.0976 hourly","$0.82 hourly","","","$0.177 hourly"
"D8d v5","D8d v5","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.452 hourly","","","$0.1001 hourly","$0.82 hourly","","","$0.1815 hourly"
"D8lds v5","D8lds v5","16 GiB","8","2 GiB/vCPU","0","300 GiB","$0.384 hourly","","","$0.085 hourly","$0.752 hourly","","","$0.1665 hourly"
"D8lds v6","D8lds v6","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.441 hourly","","","$0.0971 hourly","$0.809 hourly","","","$0.1781 hourly"
"D8lds v7","D8lds v7","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.554 hourly","","","$0.1024 hourly","$0.922 hourly","","","$0.1704 hourly"
"D8ls v5","D8ls v5","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.34 hourly","","","$0.0718 hourly","$0.708 hourly","","","$0.1495 hourly"
"D8ls v6","D8ls v6","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.357 hourly","","","$0.0776 hourly","$0.725 hourly","","","$0.1577 hourly"
"D8ls v7","D8ls v7","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.469 hourly","","","$0.0867 hourly","$0.837 hourly","","","$0.1547 hourly"
"D8nds v6","D8nds v6","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.636 hourly","","","$0.14 hourly","$1.004 hourly","","","$0.221 hourly"
"D8nlds v6","D8nlds v6","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.56 hourly","","","$0.1233 hourly","$0.928 hourly","","","$0.2043 hourly"
"D8nls v6","D8nls v6","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.454 hourly","","","$0.0987 hourly","$0.822 hourly","","","$0.1788 hourly"
"D8ns v6","D8ns v6","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.557 hourly","","","$0.1211 hourly","$0.925 hourly","","","$0.2012 hourly"
"Standard D8pds v5","D8pds v5","32 GiB","8","4 GiB/vCPU","0","300 GiB","$0.362 hourly","","","$0.0765 hourly","","","",""
"Standard D8pds v6","D8pds v6","32 GiB","8","4 GiB/vCPU","0","440 GiB","$0.367 hourly","","","$0.1042 hourly","","","",""
"Standard D8plds v5","D8plds v5","16 GiB","8","2 GiB/vCPU","0","300 GiB","$0.307 hourly","","","$0.0649 hourly","","","",""
"Standard D8plds v6","D8plds v6","16 GiB","8","2 GiB/vCPU","0","440 GiB","$0.312 hourly","","","$0.0886 hourly","","","",""
"Standard D8pls v5","D8pls v5","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.272 hourly","","","$0.0575 hourly","","","",""
"Standard D8pls v6","D8pls v6","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.248 hourly","","","$0.0704 hourly","","","",""
"Standard D8ps v5","D8ps v5","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.308 hourly","","","$0.0651 hourly","","","",""
"Standard D8ps v6","D8ps v6","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.281 hourly","","","$0.0798 hourly","","","",""
"D8s v3","D8s v3","32 GiB","8","4 GiB/vCPU","0","64 GiB","$0.384 hourly","","","$0.0753 hourly","$0.752 hourly","","","$0.1474 hourly"
"D8s v4","D8s v4","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.384 hourly","","","$0.081 hourly","$0.752 hourly","","","$0.1586 hourly"
"D8s v5","D8s v5","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.384 hourly","","","$0.0811 hourly","$0.752 hourly","","","$0.1587 hourly"
"D8s v6","D8s v6","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.403 hourly","","","$0.0877 hourly","$0.771 hourly","","","$0.1677 hourly"
"D8s v7","D8s v7","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.529 hourly","","","$0.0978 hourly","$0.897 hourly","","","$0.1658 hourly"
"D8 v3","D8 v3","32 GiB","8","4 GiB/vCPU","0","200 GiB","$0.384 hourly","","","$0.0753 hourly","$0.752 hourly","","","$0.1474 hourly"
"D8 v4","D8 v4","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.384 hourly","","","$0.081 hourly","$0.752 hourly","","","$0.1586 hourly"
"D8 v5","D8 v5","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.384 hourly","","","$0.0811 hourly","$0.752 hourly","","","$0.1587 hourly"
"D96ads v5","D96ads v5","384 GiB","96","4 GiB/vCPU","0","3600 GiB","$4.944 hourly","","","$1.1292 hourly","$9.36 hourly","","","$2.1378 hourly"
"D96ads v6","D96ads v6","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$5.472 hourly","","","$1.183 hourly","$9.888 hourly","","","$2.1348 hourly"
"D96ads v7","D96ads v7","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$5.472 hourly","","","$1.026 hourly","$9.888 hourly","","","$1.8589 hourly"
"D96alds v6","D96alds v6","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$4.57 hourly","","","$0.988 hourly","$8.986 hourly","","","$1.9401 hourly"
"D96alds v7","D96alds v7","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$4.57 hourly","","","$0.8569 hourly","$8.986 hourly","","","$1.6894 hourly"
"D96als v6","D96als v6","192 GiB","96","2 GiB/vCPU","0","0 GiB","$3.859 hourly","","","$0.8088 hourly","$8.275 hourly","","","$1.7344 hourly"
"D96als v7","D96als v7","192 GiB","96","2 GiB/vCPU","0","0 GiB","$3.859 hourly","","","$0.7236 hourly","$8.275 hourly","","","$1.5557 hourly"
"D96as v4","D96as v4","384 GiB","96","4 GiB/vCPU","0","768 GiB","$4.608 hourly","","","$1.0059 hourly","$9.024 hourly","","","$1.9699 hourly"
"D96as v5","D96as v5","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.128 hourly","","","$0.9428 hourly","$8.544 hourly","","","$1.9515 hourly"
"D96as v6","D96as v6","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.358 hourly","","","$0.9134 hourly","$8.774 hourly","","","$1.839 hourly"
"D96as v7","D96as v7","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.358 hourly","","","$0.8171 hourly","$8.774 hourly","","","$1.6495 hourly"
"D96a v4","D96a v4","384 GiB","96","4 GiB/vCPU","0","2400 GiB","$4.608 hourly","","","$1.0059 hourly","$9.024 hourly","","","$1.9699 hourly"
"D96ds v5","D96ds v5","384 GiB","96","4 GiB/vCPU","0","3600 GiB","$5.424 hourly","","","$1.2009 hourly","$9.84 hourly","","","$2.1786 hourly"
"D96ds v6","D96ds v6","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$5.98 hourly","","","$1.3162 hourly","$10.396 hourly","","","$2.2882 hourly"
"D96ds v7","D96ds v7","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$7.832 hourly","","","$1.4474 hourly","$12.248 hourly","","","$2.2634 hourly"
"D96d v5","D96d v5","384 GiB","96","4 GiB/vCPU","0","3600 GiB","$5.424 hourly","","","$1.2009 hourly","$9.84 hourly","","","$2.1786 hourly"
"D96lds v5","D96lds v5","192 GiB","96","2 GiB/vCPU","0","3600 GiB","$4.608 hourly","","","$1.0202 hourly","$9.024 hourly","","","$1.9979 hourly"
"D96lds v6","D96lds v6","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$5.295 hourly","","","$1.1654 hourly","$9.711 hourly","","","$2.1374 hourly"
"D96lds v7","D96lds v7","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$6.653 hourly","","","$1.2295 hourly","$11.069 hourly","","","$2.0456 hourly"
"D96ls v5","D96ls v5","192 GiB","96","2 GiB/vCPU","0","0 GiB","$4.08 hourly","","","$0.8613 hourly","$8.496 hourly","","","$1.7935 hourly"
"D96ls v6","D96ls v6","192 GiB","96","2 GiB/vCPU","0","0 GiB","$4.284 hourly","","","$0.9318 hourly","$8.70 hourly","","","$1.8923 hourly"
"D96ls v7","D96ls v7","192 GiB","96","2 GiB/vCPU","0","0 GiB","$5.623 hourly","","","$1.0391 hourly","$10.039 hourly","","","$1.8552 hourly"
"D96nds v6","D96nds v6","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$7.638 hourly","","","$1.6811 hourly","$12.054 hourly","","","$2.6531 hourly"
"D96nlds v6","D96nlds v6","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$6.722 hourly","","","$1.4795 hourly","$11.138 hourly","","","$2.4515 hourly"
"D96nls v6","D96nls v6","192 GiB","96","2 GiB/vCPU","0","0 GiB","$5.443 hourly","","","$1.1839 hourly","$9.859 hourly","","","$2.1443 hourly"
"D96ns v6","D96ns v6","384 GiB","96","4 GiB/vCPU","0","0 GiB","$6.683 hourly","","","$1.4536 hourly","$11.099 hourly","","","$2.414 hourly"
"Standard D96pds v6","D96pds v6","384 GiB","96","4 GiB/vCPU","0","5280 GiB","$4.406 hourly","","","$1.2513 hourly","","","",""
"Standard D96plds v6","D96plds v6","192 GiB","96","2 GiB/vCPU","0","5280 GiB","$3.744 hourly","","","$1.0633 hourly","","","",""
"Standard D96pls v6","D96pls v6","192 GiB","96","2 GiB/vCPU","0","0 GiB","$2.976 hourly","","","$0.8452 hourly","","","",""
"Standard D96ps v6","D96ps v6","384 GiB","96","4 GiB/vCPU","0","0 GiB","$3.37 hourly","","","$0.9571 hourly","","","",""
"D96s v5","D96s v5","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.608 hourly","","","$0.9727 hourly","$9.024 hourly","","","$1.905 hourly"
"D96s v6","D96s v6","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.838 hourly","","","$1.0523 hourly","$9.254 hourly","","","$2.0127 hourly"
"D96s v7","D96s v7","384 GiB","96","4 GiB/vCPU","0","0 GiB","$6.35 hourly","","","$1.1735 hourly","$10.766 hourly","","","$1.9896 hourly"
"D96 v5","D96 v5","384 GiB","96","4 GiB/vCPU","0","0 GiB","$4.608 hourly","","","$0.9727 hourly","$9.024 hourly","","","$1.905 hourly"
"DC128eds v6","DC128eds v6","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$7.973 hourly","","","$1.4734 hourly","$13.861 hourly","","","$2.5615 hourly"
"DC128es v6","DC128es v6","512 GiB","128","4 GiB/vCPU","0","0 GiB","$6.451 hourly","","","$1.1921 hourly","$12.339 hourly","","","$2.2802 hourly"
"DC16ads v5","DC16ads v5","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.824 hourly","","","$0.1739 hourly","$1.56 hourly","","","$0.3293 hourly"
"DC16ads v6","DC16ads v6","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.912 hourly","","","$0.1924 hourly","$1.648 hourly","","","$0.3477 hourly"
"DC16as v5","DC16as v5","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.688 hourly","","","$0.1452 hourly","$1.424 hourly","","","$0.3006 hourly"
"DC16as v6","DC16as v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.726 hourly","","","$0.1532 hourly","$1.462 hourly","","","$0.3085 hourly"
"DC16ds v3","DC16ds v3","128 GiB","16","8 GiB/vCPU","0","1200 GiB","$1.808 hourly","","","$0.3793 hourly","$2.544 hourly","","","$0.5337 hourly"
"DC16eds v6","DC16eds v6","64 GiB","16","4 GiB/vCPU","0","880 GiB","$0.997 hourly","","","$0.1842 hourly","$1.733 hourly","","","$0.3203 hourly"
"DC16es v6","DC16es v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.806 hourly","","","$0.1489 hourly","$1.542 hourly","","","$0.285 hourly"
"DC16s v3","DC16s v3","128 GiB","16","8 GiB/vCPU","0","0 GiB","$1.536 hourly","","","$0.3223 hourly","$2.272 hourly","","","$0.4767 hourly"
"DC1ds v3","DC1ds v3","8 GiB","1","8 GiB/vCPU","0","75 GiB","$0.113 hourly","","","$0.0237 hourly","$0.159 hourly","","","$0.0334 hourly"
"DC1s v2","DC1s v2","4 GiB","1","4 GiB/vCPU","0","50 GiB","$0.096 hourly","","","$0.0196 hourly","$0.142 hourly","","","$0.0289 hourly"
"DC1s v3","DC1s v3","8 GiB","1","8 GiB/vCPU","0","0 GiB","$0.096 hourly","","","$0.0201 hourly","$0.142 hourly","","","$0.0298 hourly"
"DC24ds v3","DC24ds v3","192 GiB","24","8 GiB/vCPU","0","1800 GiB","$2.712 hourly","","","$0.569 hourly","$3.816 hourly","","","$0.8006 hourly"
"DC24s v3","DC24s v3","192 GiB","24","8 GiB/vCPU","0","0 GiB","$2.304 hourly","","","$0.4834 hourly","$3.408 hourly","","","$0.715 hourly"
"DC2ads v5","DC2ads v5","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.103 hourly","","","$0.0217 hourly","$0.195 hourly","","","$0.0412 hourly"
"DC2ads v6","DC2ads v6","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.114 hourly","","","$0.0241 hourly","$0.206 hourly","","","$0.0435 hourly"
"DC2as v5","DC2as v5","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.086 hourly","","","$0.0182 hourly","$0.178 hourly","","","$0.0376 hourly"
"DC2as v6","DC2as v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0908 hourly","","","$0.0192 hourly","$0.183 hourly","","","$0.0386 hourly"
"DC2ds v3","DC2ds v3","16 GiB","2","8 GiB/vCPU","0","150 GiB","$0.226 hourly","","","$0.0474 hourly","$0.318 hourly","","","$0.0667 hourly"
"DC2eds v6","DC2eds v6","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.125 hourly","","","$0.0231 hourly","$0.217 hourly","","","$0.0401 hourly"
"DC2es v6","DC2es v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.101 hourly","","","$0.0187 hourly","$0.193 hourly","","","$0.0357 hourly"
"DC2s v2","DC2s v2","8 GiB","2","4 GiB/vCPU","0","100 GiB","$0.192 hourly","","","$0.0391 hourly","$0.284 hourly","","","$0.0578 hourly"
"DC2s v3","DC2s v3","16 GiB","2","8 GiB/vCPU","0","0 GiB","$0.192 hourly","","","$0.0403 hourly","$0.284 hourly","","","$0.0596 hourly"
"DC32ads v5","DC32ads v5","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.648 hourly","","","$0.3479 hourly","$3.12 hourly","","","$0.6586 hourly"
"DC32ads v6","DC32ads v6","128 GiB","32","4 GiB/vCPU","0","1200 GiB","$1.824 hourly","","","$0.3849 hourly","$3.296 hourly","","","$0.6955 hourly"
"DC32as v5","DC32as v5","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.376 hourly","","","$0.2905 hourly","$2.848 hourly","","","$0.6012 hourly"
"DC32as v6","DC32as v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.453 hourly","","","$0.3066 hourly","$2.925 hourly","","","$0.6172 hourly"
"DC32ds v3","DC32ds v3","256 GiB","32","8 GiB/vCPU","0","2400 GiB","$3.616 hourly","","","$0.7586 hourly","$5.088 hourly","","","$1.0675 hourly"
"DC32eds v6","DC32eds v6","128 GiB","32","4 GiB/vCPU","0","1760 GiB","$1.993 hourly","","","$0.3683 hourly","$3.465 hourly","","","$0.6403 hourly"
"DC32es v6","DC32es v6","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.613 hourly","","","$0.2981 hourly","$3.085 hourly","","","$0.5701 hourly"
"DC32s v3","DC32s v3","256 GiB","32","8 GiB/vCPU","0","0 GiB","$3.072 hourly","","","$0.6445 hourly","$4.544 hourly","","","$0.9533 hourly"
"DC48ads v5","DC48ads v5","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.472 hourly","","","$0.5218 hourly","$4.68 hourly","","","$0.9879 hourly"
"DC48ads v6","DC48ads v6","192 GiB","48","4 GiB/vCPU","0","1800 GiB","$2.736 hourly","","","$0.5773 hourly","$4.944 hourly","","","$1.0432 hourly"
"DC48as v5","DC48as v5","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.064 hourly","","","$0.4357 hourly","$4.272 hourly","","","$0.9018 hourly"
"DC48as v6","DC48as v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.179 hourly","","","$0.4598 hourly","$4.387 hourly","","","$0.9257 hourly"
"DC48ds v3","DC48ds v3","384 GiB","48","8 GiB/vCPU","0","2400 GiB","$5.424 hourly","","","$1.138 hourly","$7.632 hourly","","","$1.6012 hourly"
"DC48eds v6","DC48eds v6","192 GiB","48","4 GiB/vCPU","0","2640 GiB","$2.99 hourly","","","$0.5526 hourly","$5.198 hourly","","","$0.9606 hourly"
"DC48es v6","DC48es v6","192 GiB","48","4 GiB/vCPU","0","0 GiB","$2.419 hourly","","","$0.447 hourly","$4.627 hourly","","","$0.8551 hourly"
"DC48s v3","DC48s v3","384 GiB","48","8 GiB/vCPU","0","0 GiB","$4.608 hourly","","","$0.9668 hourly","$6.816 hourly","","","$1.43 hourly"
"DC4ads v5","DC4ads v5","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.206 hourly","","","$0.0435 hourly","$0.39 hourly","","","$0.0823 hourly"
"DC4ads v6","DC4ads v6","16 GiB","4","4 GiB/vCPU","0","150 GiB","$0.228 hourly","","","$0.0481 hourly","$0.412 hourly","","","$0.0869 hourly"
"DC4as v5","DC4as v5","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.172 hourly","","","$0.0363 hourly","$0.356 hourly","","","$0.0752 hourly"
"DC4as v6","DC4as v6","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.182 hourly","","","$0.0384 hourly","$0.366 hourly","","","$0.0772 hourly"
