Name,Url,Socket,Foundry,Process Size,Package,tCaseMax,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,P-Core Boost 3.0,E-Core Frequency,Base Clock,Multiplier,Multiplier Unlocked,TDP,Minimum Power,PL1,PL2,PL2 Tau Limit,Codename,Generation,Memory Support,DDR4 Speed,DDR5 Speed,LPDDR4x Speed,LPDDR5 Speed,ECC Memory,PCI-Express,Secondary PCIe,PCH PCIe,Chipsets,# of Cores,# of Threads,Hybrid Cores,SMP # CPUs,Integrated Graphics,Cache L1,Cache L2,Cache L3,E-Core L1,E-Core L2,Transistors,Die Size,I/O Process Size,I/O Die Size,Launch Price,FP32,Voltage,Chipset,Configurable TDP,# of CCDs,Cores per CCD,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Uncore Frequency,XFR,PPT,Idle Power,Configurable TDP-down,DDR3L Speed,LPDDR3 Speed,DMI Bus Speed,QPI Links,All Core Turbo,Effective FSB,Trace L1,AVX2 Turbo,AVX-512 Turbo,AVX-512 FMA Ports,Package#,Stepping Codes,Max Power,L1 Trace,Cache Type,Min. Assured Freq.,Max. Assured Freq.,Maximum Power,High Priority Core Freq.,Low Priority Core Freq.,High Priority Cores,Low Priority Cores,OEM Launch MSRP,Retail Launch MSRP,Bundled Cooler,Boost 3.0,P-Core Turbo,TDP-down Frequency,Boost 2.0,LPDDR4 Speed,UPI Links,Max. Memory,Retail Launch,Turbo Boost 2.0,Max Turbo Power,DMI,Adjustable Multiplier,Cache L4,TDP Range,Processor Base Power,MSRP,Retail Refresh,Core Process,Cache Process,Cache Die Size,Cache Dies,NB Frequency,ACP,Retail Release,Package HBM,Max Multi Adjust,Retail Availability,3D V-Cache,LPDDR5x Speed,All P-Core Turbo,Radeon Graphics Die Size,Dedicated Graphics
Intel Core i5-4570TE,https://www.techpowerup.com/cpu-specs/core-i5-4570te.c1610,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2013",SR172,2.7 GHz,up to 3.3 GHz,,,100 MHz,27.0x,No,35 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,2,4,,1,Intel HD 4600,64K (per core),256K (per core),4MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4590,https://www.techpowerup.com/cpu-specs/core-i5-4590.c1750,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"May 1st, 2014",unknown,3.3 GHz,up to 3.7 GHz,,,100 MHz,33.0x,No,84 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4590S,https://www.techpowerup.com/cpu-specs/core-i5-4590s.c1754,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"May 1st, 2014",unknown,2.9 GHz,up to 3.6 GHz,,,100 MHz,29.0x,No,65 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-460M,https://www.techpowerup.com/cpu-specs/core-i5-460m.c1872,Intel Socket G1,Intel,32 nm,rPGA,,,Mobile,End-of-life,"Sep 26th, 2010",unknown,2.534 GHz,up to 2.8 GHz,,,133 MHz,19.0x,No,35 W,,,,,Arrandale,Core i5 (Arrandale),DDR3,,,,,No,Gen 2,,,,2,4,,1,N/A,64K (per core),256K (per core),3MB (shared),,,382 million,81 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4670,https://www.techpowerup.com/cpu-specs/core-i5-4670.c1477,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2013",SR14D,3.4 GHz,up to 3.8 GHz,,,100 MHz,34.0x,No,84 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4670K,https://www.techpowerup.com/cpu-specs/core-i5-4670k.c1469,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2013",SR14A,3.4 GHz,up to 3.8 GHz,,,100 MHz,34.0x,Yes,84 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4670R,https://www.techpowerup.com/cpu-specs/core-i5-4670r.c1574,Intel BGA 1364,Intel,22 nm,FC-BGA1364,71°C,,Desktop,Active,"Jun 2nd, 2013",unknown,3 GHz,up to 3.7 GHz,,,100 MHz,30.0x,Yes,65 W,,,,,Haswell,Core i5 (Haswell),DDR3,,,,,No,,,,,4,4,,1,Intel Iris? Pro 5200,64K (per core),256K (per core),4MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128MB (shared),,,,,,,,,,,,,,,,,,,
Intel Core i5-4670S,https://www.techpowerup.com/cpu-specs/core-i5-4670s.c1479,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2013",SR14K,3.1 GHz,up to 3.8 GHz,,,100 MHz,31.0x,No,65 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4670T,https://www.techpowerup.com/cpu-specs/core-i5-4670t.c1480,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2013",SR14P,2.3 GHz,up to 3.3 GHz,,,100 MHz,23.0x,No,45 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4690,https://www.techpowerup.com/cpu-specs/core-i5-4690.c1748,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"May 1st, 2014",unknown,3.4 GHz,up to 3.8 GHz,,,100 MHz,34.0x,No,84 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-4690K,https://www.techpowerup.com/cpu-specs/core-i5-4690k.c1762,Intel Socket 1150,Intel,22 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jun 2nd, 2014",unknown,3.5 GHz,up to 3.9 GHz,,,100 MHz,35.0x,Yes,88 W,,,,,Haswell,Core i5 (Haswell),DDR3 Dual-channel,,,,,No,Gen 3,,,,4,4,,1,Intel HD 4600,64K (per core),256K (per core),6MB (shared),,,"1,400 million",177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-480M,https://www.techpowerup.com/cpu-specs/core-i5-480m.c1871,Intel Socket G1,Intel,32 nm,rPGA,,,Mobile,End-of-life,"Jan 9th, 2011",unknown,2.667 GHz,up to 2.933 GHz,,,133 MHz,20.0x,No,35 W,,,,,Arrandale,Core i5 (Arrandale),DDR3,,,,,No,Gen 2,,,,2,4,,1,N/A,64K (per core),256K (per core),3MB (shared),,,382 million,81 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5200U,https://www.techpowerup.com/cpu-specs/core-i5-5200u.c1807,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR23Y,2.2 GHz,up to 2.7 GHz,,,100 MHz,22.0x,No,15 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1600 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel HD 5500,64K (per core),256K (per core),3MB (shared),,,"1,300 million",82 mm²,,,$281,,,,7.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5250U,https://www.techpowerup.com/cpu-specs/core-i5-5250u.c1811,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR26C,1600 MHz,up to 2.7 GHz,,,100 MHz,16.0x,No,15 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel HD 6000,64K (per core),256K (per core),3MB (shared),,,"1,900 million",133 mm²,,,$315,,,,9.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5257U,https://www.techpowerup.com/cpu-specs/core-i5-5257u.c1804,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR26K,2.7 GHz,up to 3.1 GHz,,,100 MHz,27.0x,No,28 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel Iris 6100,64K (per core),256K (per core),3MB (shared),,,"1,900 million",133 mm²,,,$315,,,,23W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5287U,https://www.techpowerup.com/cpu-specs/core-i5-5287u.c1805,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR26H,2.9 GHz,up to 3.3 GHz,,,100 MHz,29.0x,No,28 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel Iris 6100,64K (per core),256K (per core),3MB (shared),,,"1,900 million",133 mm²,,,$315,,,,23W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5300U,https://www.techpowerup.com/cpu-specs/core-i5-5300u.c1808,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR23X,2.3 GHz,up to 2.9 GHz,,,100 MHz,23.0x,No,15 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1600 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel HD 5500,64K (per core),256K (per core),3MB (shared),,,"1,300 million",82 mm²,,,$315,,,,7.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5350H,https://www.techpowerup.com/cpu-specs/core-i5-5350h.c2696,Intel BGA 1364,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR2BK,3.1 GHz,up to 3.5 GHz,,,100 MHz,31.0x,No,47 W,,,,,Broadwell-H,Core i5 (Broadwell-H),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,2,4,,1,Iris Pro Graphics 6200,64K (per core),256K (per core),4MB (shared),,,,182 mm²,,,$289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128MB,,,,,,,,,,,,,,,,,,,
Intel Core i5-5350U,https://www.techpowerup.com/cpu-specs/core-i5-5350u.c1812,Intel BGA 1168,Intel,14 nm,FC-BGA14F,105°C,,Mobile,End-of-life,"Mar 1st, 2015",SR268,1800 MHz,up to 2.9 GHz,,,100 MHz,18.0x,No,15 W,,,,,Broadwell-U,Core i5 (Broadwell-U),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 2, 12 Lanes(CPU only)",,,,2,4,,1,Intel HD 6000,64K (per core),256K (per core),3MB (shared),,,"1,900 million",133 mm²,,,$315,,,,9.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-540M,https://www.techpowerup.com/cpu-specs/core-i5-540m.c1868,Intel Socket G1,Intel,32 nm,rPGA,,,Mobile,End-of-life,"Jan 7th, 2010",unknown,2.533 GHz,up to 3.073 GHz,,,133 MHz,19.0x,No,35 W,,,,,Arrandale,Core i5 (Arrandale),DDR3,,,,,No,Gen 2,,,,2,4,,1,N/A,64K (per core),256K (per core),3MB (shared),,,382 million,81 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5575R,https://www.techpowerup.com/cpu-specs/core-i5-5575r.c2688,Intel BGA 1364,Intel,14 nm,FC-BGA14F,72°C,,Desktop,Active,"May 15th, 2015",SR2AK,2.8 GHz,up to 3.3 GHz,,,100 MHz,28.0x,No,65 W,,,,,Broadwell,Core i5 (Broadwell),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,Iris Pro Graphics 6200,64K (per core),256K (per core),4MB (shared),,,,182 mm²,,,$265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128MB (shared),,,,,,,,,,,,,,,,,,,
Intel Core i5-560M,https://www.techpowerup.com/cpu-specs/core-i5-560m.c1869,Intel Socket G1,Intel,32 nm,rPGA,,,Mobile,End-of-life,"Sep 26th, 2010",unknown,2.667 GHz,up to 3.2 GHz,,,133 MHz,20.0x,No,35 W,,,,,Arrandale,Core i5 (Arrandale),DDR3,,,,,No,Gen 2,,,,2,4,,1,N/A,64K (per core),256K (per core),3MB (shared),,,382 million,81 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-5675C,https://www.techpowerup.com/cpu-specs/core-i5-5675c.c2147,Intel Socket 1150,Intel,14 nm,FC-LGA1150,72°C,,Desktop,Active,"May 15th, 2015",SR2B6SR2FX,3.1 GHz,up to 3.6 GHz,,,100 MHz,31.0x,Yes,65 W,,,,,Broadwell,Core i5 (Broadwell),DDR3-1600 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"Z97, H97",4,4,,1,Iris Pro Graphics 6200,64K (per core),256K (per core),4MB (shared),,,,182 mm²,,,$276,,,,37W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128MB (shared),,,,,,,,,,,,,,,,,,,
Intel Core i5-5675R,https://www.techpowerup.com/cpu-specs/core-i5-5675r.c2686,Intel BGA 1364,Intel,14 nm,FC-BGA14F,72°C,,Desktop,Active,"May 15th, 2015",SR2AJ,3.1 GHz,up to 3.6 GHz,,,100 MHz,31.0x,No,65 W,,,,,Broadwell,Core i5 (Broadwell),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,Iris Pro Graphics 6200,64K (per core),256K (per core),4MB (shared),,,,182 mm²,,,$265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128MB (shared),,,,,,,,,,,,,,,,,,,
Intel Core i5-580M,https://www.techpowerup.com/cpu-specs/core-i5-580m.c1870,Intel Socket G1,Intel,32 nm,rPGA,,,Mobile,End-of-life,"Sep 26th, 2010",unknown,2.667 GHz,up to 3.333 GHz,,,133 MHz,20.0x,No,35 W,,,,,Arrandale,Core i5 (Arrandale),DDR3,,,,,No,Gen 2,,,,2,4,,1,N/A,64K (per core),256K (per core),3MB (shared),,,382 million,81 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-6350HQ,https://www.techpowerup.com/cpu-specs/core-i5-6350hq.c1997,Intel BGA 1440,Intel,14 nm,FC-BGA1440,,,Mobile,unknown,"Jan 24th, 2016",SR2QZ,2.3 GHz,up to 3.2 GHz,,,100 MHz,23.0x,No,45 W,,,,,Skylake-H,Core i5 (Skylake-H),"DDR3, DDR4",,,,,No,,,,,4,4,,1,Intel Iris Pro 580,64K (per core),256K (per core),6MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-6400,https://www.techpowerup.com/cpu-specs/core-i5-6400.c1830,Intel Socket 1151,Intel,14 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jul 2nd, 2015",unknown,2.7 GHz,up to 3.3 GHz,,,100 MHz,27.0x,No,65 W,,,,,Skylake,Core i5 (Skylake),DDR4-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,HD Graphics 530,64K (per core),256K (per core),6MB (shared),,,,177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-650,https://www.techpowerup.com/cpu-specs/core-i5-650.c664,Intel Socket 1156,Intel,32 nm,FC-LGA10,,,Desktop,End-of-life,"Jan 7th, 2010",SLBTJSLBLK,3.2 GHz,up to 3.466 GHz,,,133 MHz,24.0x,No,73 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"Intel H57, Intel H55, Intel P55",2,4,,1,Intel HD,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$176,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-6500,https://www.techpowerup.com/cpu-specs/core-i5-6500.c1829,Intel Socket 1151,Intel,14 nm,FC-LGA12C,72°C,,Desktop,End-of-life,"Jul 2nd, 2015",SR2L6,3.2 GHz,up to 3.6 GHz,,,100 MHz,32.0x,No,65 W,,,,,Skylake,Core i5 (Skylake),DDR4-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"Z170, B150, H110",4,4,,1,HD Graphics 530,64K (per core),256K (per core),6MB (shared),,,,177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-655K,https://www.techpowerup.com/cpu-specs/core-i5-655k.c712,Intel Socket 1156,Intel,32 nm,FC-LGA10,73°C,,Desktop,End-of-life,"May 30th, 2010",SLBXL,3.2 GHz,up to 3.466 GHz,,,133 MHz,24.0x,Yes,73 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"H55, H57, P55",2,4,,1,HD Graphics,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$216,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-660,https://www.techpowerup.com/cpu-specs/core-i5-660.c663,Intel Socket 1156,Intel,32 nm,FC-LGA10,,,Desktop,End-of-life,"Jan 7th, 2010",SLBLVSLBTK,3.333 GHz,up to 3.6 GHz,,,133 MHz,25.0x,No,73 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"Intel H57, Intel H55, Intel P55",2,4,,1,Intel HD,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$196,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-6600,https://www.techpowerup.com/cpu-specs/core-i5-6600.c1828,Intel Socket 1151,Intel,14 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jul 2nd, 2015",SR2BW,3.3 GHz,up to 3.9 GHz,,,100 MHz,33.0x,No,65 W,,,,,Skylake,Core i5 (Skylake),DDR4-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,UHD Graphics 530,64K (per core),256K (per core),6MB (shared),,,,177 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-6600K,https://www.techpowerup.com/cpu-specs/core-i5-6600k.c1826,Intel Socket 1151,Intel,14 nm,FC-LGA12C,72°C,,Desktop,unknown,"Jul 2nd, 2015",SR2BV,3.5 GHz,up to 3.9 GHz,,,100 MHz,35.0x,Yes,95 W,,,,,Skylake,Core i5 (Skylake),DDR4-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,N/A,64K (per core),256K (per core),6MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-661,https://www.techpowerup.com/cpu-specs/core-i5-661.c711,Intel Socket 1156,Intel,32 nm,FC-LGA10,,,Desktop,End-of-life,"Jan 7th, 2010",SLBNESLBTB,3.333 GHz,up to 3.6 GHz,,,133 MHz,25.0x,No,87 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"Intel H57, Intel H55, Intel P55",2,4,,1,Intel HD,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$196,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-670,https://www.techpowerup.com/cpu-specs/core-i5-670.c662,Intel Socket 1156,Intel,32 nm,FC-LGA10,,,Desktop,End-of-life,"Jan 7th, 2010",SLBLT,3.466 GHz,up to 3.733 GHz,,,133 MHz,26.0x,No,73 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"Intel H57, Intel H55, Intel P55",2,4,,1,Intel HD,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$284,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-680,https://www.techpowerup.com/cpu-specs/core-i5-680.c710,Intel Socket 1156,Intel,32 nm,FC-LGA10,,,Desktop,End-of-life,"Apr 19th, 2010",SLBTM,3.6 GHz,up to 3.866 GHz,,,133 MHz,27.0x,No,73 W,,,,,Clarkdale,Core i5 (Clarkdale),DDR3-1333 MHz Dual-channel,,,,,No,"Gen 2, 16 Lanes(CPU only)",,,"Intel H57, Intel H55, Intel P55",2,4,,1,Intel HD,64K (per core),256K (per core),4MB (shared),,,382 million,81 mm²,,,$294,,1.4 V,,,,,,,,2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-7300HQ,https://www.techpowerup.com/cpu-specs/core-i5-7300hq.c1998,Intel BGA 1440,Intel,14 nm,FC-BGA1440,,100°C,Mobile,End-of-life,"Jan 3rd, 2017",SR32S,2.5 GHz,up to 3.5 GHz,,,100 MHz,25.0x,No,45 W,,,,,Kaby Lake-H,Core i5 (Kaby Lake-H),"DDR3, DDR4 Dual-channel",2400 MT/s,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,Intel HD Graphics 630,64K (per core),256K (per core),6MB (shared),,,,126 mm²,,,$250,,,,,,,,3.1 GHz,,,,,,35 W,1600 MT/s,2133 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-7400,https://www.techpowerup.com/cpu-specs/core-i5-7400.c1851,Intel Socket 1151,Intel,14 nm,FC-LGA1151,72°C,,Desktop,Active,"Jan 3rd, 2017",SR32W,3 GHz,up to 3.5 GHz,,,100 MHz,30.0x,No,65 W,,,,,Kaby Lake,Core i5 (Kaby Lake),DDR4-2400 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,HD 630,64K (per core),256K (per core),6MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-7400T,https://www.techpowerup.com/cpu-specs/core-i5-7400t.c1859,Intel Socket 1151,Intel,14 nm,FC-LGA1151,72°C,,Desktop,Active,"Jan 3rd, 2017",SR332,2.4 GHz,up to 3 GHz,,,100 MHz,24.0x,No,35 W,,,,,Kaby Lake,Core i5 (Kaby Lake),DDR4-2400 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,,4,4,,1,HD 630,64K (per core),256K (per core),6MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
